2020_CountyName,2020_area_damaged_open_space,2020_area_damaged_ll,2020_area_damaged_all,2010_CountyName,2010_area_damaged_open_space,2010_area_damaged_ll,2010_area_damaged_all,2017_CountyName,2017_area_damaged_open_space,2017_area_damaged_ll,2017_area_damaged_all,2008_CountyName,2008_area_damaged_open_space,2008_area_damaged_ll,2008_area_damaged_all,2006_CountyName,2006_area_damaged_open_space,2006_area_damaged_ll,2006_area_damaged_all,2016_CountyName,2016_area_damaged_open_space,2016_area_damaged_ll,2016_area_damaged_all,2000_CountyName,2000_area_damaged_open_space,2000_area_damaged_ll,2000_area_damaged_all,2002_CountyName,2002_area_damaged_open_space,2002_area_damaged_ll,2002_area_damaged_all,2009_CountyName,2009_area_damaged_open_space,2009_area_damaged_ll,2009_area_damaged_all,2007_CountyName,2007_area_damaged_open_space,2007_area_damaged_ll,2007_area_damaged_all,2004_CountyName,2004_area_damaged_open_space,2004_area_damaged_ll,2004_area_damaged_all,2012_CountyName,2012_area_damaged_open_space,2012_area_damaged_ll,2012_area_damaged_all,2019_CountyName,2019_area_damaged_open_space,2019_area_damaged_ll,2019_area_damaged_all,2018_CountyName,2018_area_damaged_open_space,2018_area_damaged_ll,2018_area_damaged_all,2013_CountyName,2013_area_damaged_open_space,2013_area_damaged_ll,2013_area_damaged_all,2015_CountyName,2015_area_damaged_open_space,2015_area_damaged_ll,2015_area_damaged_all,2014_CountyName,2014_area_damaged_open_space,2014_area_damaged_ll,2014_area_damaged_all,2001_CountyName,2001_area_damaged_open_space,2001_area_damaged_ll,2001_area_damaged_all,2005_CountyName,2005_area_damaged_open_space,2005_area_damaged_ll,2005_area_damaged_all,2011_CountyName,2011_area_damaged_open_space,2011_area_damaged_ll,2011_area_damaged_all,2003_CountyName,2003_area_damaged_open_space,2003_area_damaged_ll,2003_area_damaged_all
Camden,0.0,0.0,0.0,Camden,0.0,0.0,0.0,Camden,0.0,0.0,0.0,Camden,0.0,0.0,0.0,Camden,0.0,0.0,0.0,Camden,0.0,0.0,0.0,Camden,0.0,0.0,0.0,Camden,0.0,0.0,0.0,Camden,0.0,0.0,0.0,Camden,0.0,0.0,0.0,Camden,0.0,0.0,0.0,Camden,0.0,0.0,0.0,Camden,0.0,0.0,0.0,Camden,0.0,0.0,0.0,Camden,0.0,0.0,0.0,Camden,0.0,0.0,0.0,Camden,0.0,0.0,0.0,Camden,0.0,0.0,0.0,Camden,0.0,0.0,0.0,Camden,0.0,0.0,0.0,Camden,0.09080597014925372,0.10216417910447764,0.18161194029850747
Gates,0.0,0.0,0.0,Gates,0.0,0.0,0.0,Gates,0.0,0.0,0.0,Gates,0.0,0.0,0.0,Gates,0.0,0.0,0.0,Gates,0.0,0.0,0.0,Gates,0.0,0.0,0.0,Gates,0.0,0.0,0.0,Gates,0.0,0.0,0.0,Gates,0.0,0.0,0.0,Gates,0.0,0.0,0.0,Gates,0.0,0.0,0.0,Gates,0.0,0.0,0.0,Gates,0.0,0.0,0.0,Gates,0.0,0.0,0.0,Gates,0.0,0.0,0.0,Gates,0.0,0.0,0.0,Gates,0.0,0.0,0.0,Gates,0.0,0.0,0.0,Gates,0.0,0.0,0.0,Gates,0.0,0.0,0.0
Iredell,0.0,0.0,0.0,Iredell,0.0,0.0,0.0,Iredell,0.0,0.0,0.0,Iredell,0.0,0.0,0.0,Iredell,0.0,0.0,0.0,Iredell,0.0,0.0,0.0,Iredell,0.0,0.0,0.0,Iredell,0.0,0.0,0.0,Iredell,0.0,0.0,0.0,Iredell,0.0,0.0,0.0,Iredell,0.0,0.0,0.0,Iredell,0.0,0.0,0.0,Iredell,0.0,0.0,0.0,Iredell,0.0,0.0,0.0,Iredell,0.0,0.0,0.0,Iredell,0.0,0.0,0.0,Iredell,0.0,0.0,0.0,Iredell,0.0,0.0,0.0,Iredell,0.0,0.0,0.0,Iredell,0.0,0.0,0.0,Iredell,0.0,0.0,0.0
Wilkes,0.0,0.0,0.0,Wilkes,0.6555538752362949,0.8281285444234407,1.31110775047259,Wilkes,0.0,0.0,0.0,Wilkes,0.0,0.0,0.0,Wilkes,0.0,0.0,0.0,Wilkes,0.0,0.0,0.0,Wilkes,0.013111077504725895,0.016562570888468815,0.026222155009451797,Wilkes,0.009833308128544422,0.01242192816635161,0.019666616257088845,Wilkes,0.0,0.0,0.0,Wilkes,9.847511795841207,12.455053308128553,19.695023591682414,Wilkes,0.009833308128544422,0.01242192816635161,0.019666616257088845,Wilkes,0.006555538752362949,0.008281285444234406,0.013111077504725895,Wilkes,0.0,0.0,0.0,Wilkes,0.013111077504725895,0.016562570888468815,0.026222155009451797,Wilkes,0.0,0.0,0.0,Wilkes,0.0,0.0,0.0,Wilkes,0.03277769376181474,0.041406427221172035,0.06555538752362948,Wilkes,0.009833308128544422,0.01242192816635161,0.019666616257088845,Wilkes,0.006555538752362949,0.008281285444234406,0.013111077504725895,Wilkes,0.0,0.0,0.0,Wilkes,0.009833308128544422,0.01242192816635161,0.019666616257088845
Union,0.0,0.0,0.0,Union,0.0,0.0,0.0,Union,0.0,0.0,0.0,Union,0.0,0.0,0.0,Union,0.0,0.0,0.0,Union,0.0,0.0,0.0,Union,0.0,0.0,0.0,Union,0.0,0.0,0.0,Union,0.0,0.0,0.0,Union,0.0,0.0,0.0,Union,0.0,0.0,0.0,Union,0.0,0.0,0.0,Union,0.0,0.0,0.0,Union,0.0,0.0,0.0,Union,0.0,0.0,0.0,Union,0.0,0.0,0.0,Union,0.0,0.0,0.0,Union,0.0,0.0,0.0,Union,0.0,0.0,0.0,Union,0.0,0.0,0.0,Union,0.0,0.0,0.0
Cabarrus,0.0,0.0,0.0,Cabarrus,0.0,0.0,0.0,Cabarrus,0.0,0.0,0.0,Cabarrus,0.0,0.0,0.0,Cabarrus,0.0,0.0,0.0,Cabarrus,0.0,0.0,0.0,Cabarrus,0.0,0.0,0.0,Cabarrus,0.0,0.0,0.0,Cabarrus,0.0,0.0,0.0,Cabarrus,0.0,0.0,0.0,Cabarrus,0.0,0.0,0.0,Cabarrus,0.0,0.0,0.0,Cabarrus,0.0,0.0,0.0,Cabarrus,0.0,0.0,0.0,Cabarrus,0.0,0.0,0.0,Cabarrus,0.0,0.0,0.0,Cabarrus,0.0,0.0,0.0,Cabarrus,0.0,0.0,0.0,Cabarrus,0.0,0.0,0.0,Cabarrus,0.0,0.0,0.0,Cabarrus,0.0,0.0,0.0
Wake,0.0,0.0,0.0,Wake,0.0,0.0,0.0,Wake,0.0,0.0,0.0,Wake,0.0,0.0,0.0,Wake,0.0,0.0,0.0,Wake,0.0,0.0,0.0,Wake,0.0,0.0,0.0,Wake,0.0,0.0,0.0,Wake,0.0,0.0,0.0,Wake,0.0,0.0,0.0,Wake,0.0,0.0,0.0,Wake,0.0,0.0,0.0,Wake,0.0,0.0,0.0,Wake,0.0,0.0,0.0,Wake,0.0,0.0,0.0,Wake,0.0,0.0,0.0,Wake,0.0,0.0,0.0,Wake,0.0,0.0,0.0,Wake,0.0,0.0,0.0,Wake,0.0,0.0,0.0,Wake,0.0,0.0,0.0
Franklin,0.0,0.0,0.0,Franklin,0.0,0.0,0.0,Franklin,0.0,0.0,0.0,Franklin,0.0,0.0,0.0,Franklin,0.0,0.0,0.0,Franklin,0.0,0.0,0.0,Franklin,0.0,0.0,0.0,Franklin,0.0,0.0,0.0,Franklin,0.0,0.0,0.0,Franklin,0.0,0.0,0.0,Franklin,0.0,0.0,0.0,Franklin,0.0,0.0,0.0,Franklin,0.0,0.0,0.0,Franklin,0.0,0.0,0.0,Franklin,0.0,0.0,0.0,Franklin,0.0,0.0,0.0,Franklin,0.0,0.0,0.0,Franklin,0.0,0.0,0.0,Franklin,0.0,0.0,0.0,Franklin,0.0,0.0,0.0,Franklin,0.0,0.0,0.0
Pender,0.003529246753246753,0.007901875901875901,0.007058493506493506,Pender,0.0,0.0,0.0,Pender,0.0,0.0,0.0,Pender,0.0,0.0,0.0,Pender,0.0,0.0,0.0,Pender,0.0,0.0,0.0,Pender,0.0,0.0,0.0,Pender,0.0,0.0,0.0,Pender,0.0,0.0,0.0,Pender,0.0,0.0,0.0,Pender,0.0,0.0,0.0,Pender,0.0,0.0,0.0,Pender,0.017646233766233758,0.039509379509379515,0.035292467532467516,Pender,0.3529246753246753,0.7901875901875902,0.7058493506493506,Pender,0.0,0.0,0.0,Pender,0.0,0.0,0.0,Pender,0.0,0.0,0.0,Pender,0.0,0.0,0.0,Pender,2.474296077922077,5.547116883116883,4.948592155844156,Pender,0.0,0.0,0.0,Pender,0.0,0.0,0.0
New Hanover,0.007766808510638296,0.06480904255319149,0.015533617021276591,New Hanover,0.0,0.0,0.0,New Hanover,0.0,0.0,0.0,New Hanover,0.0,0.0,0.0,New Hanover,0.0,0.0,0.0,New Hanover,0.0,0.0,0.0,New Hanover,0.0,0.0,0.0,New Hanover,0.0,0.0,0.0,New Hanover,0.0,0.0,0.0,New Hanover,0.0,0.0,0.0,New Hanover,0.0,0.0,0.0,New Hanover,0.0,0.0,0.0,New Hanover,11.667040851063831,97.47280000000003,23.334081702127662,New Hanover,0.038834042553191485,0.3240452127659575,0.07766808510638297,New Hanover,0.0,0.0,0.0,New Hanover,0.0,0.0,0.0,New Hanover,0.0,0.0,0.0,New Hanover,0.0,0.0,0.0,New Hanover,11.667040851063831,97.47280000000003,23.334081702127662,New Hanover,0.0,0.0,0.0,New Hanover,0.0,0.0,0.0
Durham,0.0,0.0,0.0,Durham,0.0,0.0,0.0,Durham,0.0,0.0,0.0,Durham,0.0,0.0,0.0,Durham,0.0,0.0,0.0,Durham,0.0,0.0,0.0,Durham,0.0,0.0,0.0,Durham,0.0,0.0,0.0,Durham,0.0,0.0,0.0,Durham,0.0,0.0,0.0,Durham,0.0,0.0,0.0,Durham,0.0,0.0,0.0,Durham,0.0,0.0,0.0,Durham,0.0,0.0,0.0,Durham,0.0,0.0,0.0,Durham,0.0,0.0,0.0,Durham,0.0,0.0,0.0,Durham,0.0,0.0,0.0,Durham,0.0,0.0,0.0,Durham,0.0,0.0,0.0,Durham,0.0,0.0,0.0
Orange,0.0,0.0,0.0,Orange,0.0,0.0,0.0,Orange,0.0,0.0,0.0,Orange,0.0,0.0,0.0,Orange,0.0,0.0,0.0,Orange,0.0,0.0,0.0,Orange,0.0,0.0,0.0,Orange,0.0,0.0,0.0,Orange,0.0,0.0,0.0,Orange,0.0,0.0,0.0,Orange,0.0,0.0,0.0,Orange,0.0,0.0,0.0,Orange,0.0,0.0,0.0,Orange,0.0,0.0,0.0,Orange,0.0,0.0,0.0,Orange,0.0,0.0,0.0,Orange,0.0,0.0,0.0,Orange,0.0,0.0,0.0,Orange,0.0,0.0,0.0,Orange,0.0,0.0,0.0,Orange,0.0,0.0,0.0
Chatham,0.0,0.0,0.0,Chatham,0.0,0.0,0.0,Chatham,0.0,0.0,0.0,Chatham,0.0,0.0,0.0,Chatham,0.0,0.0,0.0,Chatham,0.0,0.0,0.0,Chatham,0.0,0.0,0.0,Chatham,0.0,0.0,0.0,Chatham,0.0,0.0,0.0,Chatham,0.0,0.0,0.0,Chatham,0.0,0.0,0.0,Chatham,0.0,0.0,0.0,Chatham,0.0,0.0,0.0,Chatham,0.0,0.0,0.0,Chatham,0.0,0.0,0.0,Chatham,0.0,0.0,0.0,Chatham,0.0,0.0,0.0,Chatham,0.0,0.0,0.0,Chatham,0.0,0.0,0.0,Chatham,0.0,0.0,0.0,Chatham,0.0,0.0,0.0
Alamance,0.0,0.0,0.0,Alamance,0.0,0.0,0.0,Alamance,0.0,0.0,0.0,Alamance,0.0,0.0,0.0,Alamance,0.0,0.0,0.0,Alamance,0.0,0.0,0.0,Alamance,0.0,0.0,0.0,Alamance,0.0,0.0,0.0,Alamance,0.0,0.0,0.0,Alamance,0.0,0.0,0.0,Alamance,0.0,0.0,0.0,Alamance,0.0,0.0,0.0,Alamance,0.0,0.0,0.0,Alamance,0.0,0.0,0.0,Alamance,0.0,0.0,0.0,Alamance,0.0,0.0,0.0,Alamance,0.0,0.0,0.0,Alamance,0.0,0.0,0.0,Alamance,0.0,0.0,0.0,Alamance,0.0,0.0,0.0,Alamance,0.0,0.0,0.0
Harnett,0.0,0.0,0.0,Harnett,0.0,0.0,0.0,Harnett,0.0,0.0,0.0,Harnett,0.0,0.0,0.0,Harnett,0.0,0.0,0.0,Harnett,0.0,0.0,0.0,Harnett,0.0,0.0,0.0,Harnett,0.0,0.0,0.0,Harnett,0.0,0.0,0.0,Harnett,0.0,0.0,0.0,Harnett,0.0,0.0,0.0,Harnett,0.0,0.0,0.0,Harnett,0.0,0.0,0.0,Harnett,0.0,0.0,0.0,Harnett,0.0,0.0,0.0,Harnett,0.0,0.0,0.0,Harnett,0.0,0.0,0.0,Harnett,0.0,0.0,0.0,Harnett,0.0,0.0,0.0,Harnett,0.0,0.0,0.0,Harnett,0.0,0.0,0.0
Moore,0.0,0.0,0.0,Moore,0.0,0.0,0.0,Moore,0.0,0.0,0.0,Moore,0.0,0.0,0.0,Moore,0.0,0.0,0.0,Moore,0.0,0.0,0.0,Moore,0.0,0.0,0.0,Moore,0.0,0.0,0.0,Moore,0.0,0.0,0.0,Moore,0.0,0.0,0.0,Moore,0.0,0.0,0.0,Moore,0.0,0.0,0.0,Moore,0.0,0.0,0.0,Moore,0.0,0.0,0.0,Moore,0.0,0.0,0.0,Moore,0.0,0.0,0.0,Moore,0.0,0.0,0.0,Moore,0.0,0.0,0.0,Moore,0.0,0.0,0.0,Moore,0.0,0.0,0.0,Moore,0.0,0.0,0.0
Beaufort,0.0,0.0,0.0,Beaufort,0.0,0.0,0.0,Beaufort,0.0,0.0,0.0,Beaufort,0.0,0.0,0.0,Beaufort,0.0,0.0,0.0,Beaufort,0.0,0.0,0.0,Beaufort,0.0,0.0,0.0,Beaufort,0.0,0.0,0.0,Beaufort,0.0,0.0,0.0,Beaufort,0.0,0.0,0.0,Beaufort,0.0,0.0,0.0,Beaufort,0.0,0.0,0.0,Beaufort,0.0,0.0,0.0,Beaufort,0.0,0.0,0.0,Beaufort,0.0,0.0,0.0,Beaufort,0.0,0.0,0.0,Beaufort,0.0,0.0,0.0,Beaufort,0.0,0.0,0.0,Beaufort,0.0,0.0,0.0,Beaufort,0.0,0.0,0.0,Beaufort,0.0,0.0,0.0
Martin,0.0,0.0,0.0,Martin,0.0,0.0,0.0,Martin,0.0,0.0,0.0,Martin,0.0,0.0,0.0,Martin,0.0,0.0,0.0,Martin,0.0,0.0,0.0,Martin,0.0,0.0,0.0,Martin,0.0,0.0,0.0,Martin,0.0,0.0,0.0,Martin,0.0,0.0,0.0,Martin,0.0,0.0,0.0,Martin,0.0,0.0,0.0,Martin,0.0,0.0,0.0,Martin,0.0,0.0,0.0,Martin,0.0,0.0,0.0,Martin,0.0,0.0,0.0,Martin,0.0,0.0,0.0,Martin,0.0,0.0,0.0,Martin,0.0,0.0,0.0,Martin,0.0,0.0,0.0,Martin,0.0,0.0,0.0
Pitt,0.0,0.0,0.0,Pitt,0.0,0.0,0.0,Pitt,0.0,0.0,0.0,Pitt,0.0,0.0,0.0,Pitt,0.0,0.0,0.0,Pitt,0.0,0.0,0.0,Pitt,0.0,0.0,0.0,Pitt,0.0,0.0,0.0,Pitt,0.0,0.0,0.0,Pitt,0.0,0.0,0.0,Pitt,0.0,0.0,0.0,Pitt,0.0,0.0,0.0,Pitt,0.0,0.0,0.0,Pitt,0.0,0.0,0.0,Pitt,0.0,0.0,0.0,Pitt,0.0,0.0,0.0,Pitt,0.0,0.0,0.0,Pitt,0.0,0.0,0.0,Pitt,0.0,0.0,0.0,Pitt,0.0,0.0,0.0,Pitt,0.0,0.0,0.0
Greene,0.0,0.0,0.0,Greene,0.0,0.0,0.0,Greene,0.0,0.0,0.0,Greene,0.0,0.0,0.0,Greene,0.0,0.0,0.0,Greene,0.0,0.0,0.0,Greene,0.0,0.0,0.0,Greene,0.0,0.0,0.0,Greene,0.0,0.0,0.0,Greene,0.0,0.0,0.0,Greene,0.0,0.0,0.0,Greene,0.0,0.0,0.0,Greene,0.0,0.0,0.0,Greene,0.0,0.0,0.0,Greene,0.0,0.0,0.0,Greene,0.0,0.0,0.0,Greene,0.0,0.0,0.0,Greene,0.0,0.0,0.0,Greene,0.0,0.0,0.0,Greene,0.0,0.0,0.0,Greene,0.0,0.0,0.0
Wilson,0.0,0.0,0.0,Wilson,0.0,0.0,0.0,Wilson,0.0,0.0,0.0,Wilson,0.0,0.0,0.0,Wilson,0.0,0.0,0.0,Wilson,0.0,0.0,0.0,Wilson,0.0,0.0,0.0,Wilson,0.0,0.0,0.0,Wilson,0.0,0.0,0.0,Wilson,0.0,0.0,0.0,Wilson,0.0,0.0,0.0,Wilson,0.0,0.0,0.0,Wilson,0.0,0.0,0.0,Wilson,0.0,0.0,0.0,Wilson,0.0,0.0,0.0,Wilson,0.0,0.0,0.0,Wilson,0.0,0.0,0.0,Wilson,0.0,0.0,0.0,Wilson,0.0,0.0,0.0,Wilson,0.0,0.0,0.0,Wilson,0.0,0.0,0.0
Wayne,0.0,0.0,0.0,Wayne,0.0,0.0,0.0,Wayne,0.0,0.0,0.0,Wayne,0.0,0.0,0.0,Wayne,0.0,0.0,0.0,Wayne,0.0,0.0,0.0,Wayne,0.0,0.0,0.0,Wayne,0.0,0.0,0.0,Wayne,0.0,0.0,0.0,Wayne,0.0,0.0,0.0,Wayne,0.0,0.0,0.0,Wayne,0.0,0.0,0.0,Wayne,0.0,0.0,0.0,Wayne,0.0,0.0,0.0,Wayne,0.0,0.0,0.0,Wayne,0.0,0.0,0.0,Wayne,0.0,0.0,0.0,Wayne,0.0,0.0,0.0,Wayne,0.0,0.0,0.0,Wayne,0.0,0.0,0.0,Wayne,0.0,0.0,0.0
Anson,0.0,0.0,0.0,Anson,0.0,0.0,0.0,Anson,0.0,0.0,0.0,Anson,0.0,0.0,0.0,Anson,0.0,0.0,0.0,Anson,0.0,0.0,0.0,Anson,0.0,0.0,0.0,Anson,0.0,0.0,0.0,Anson,0.0,0.0,0.0,Anson,0.0,0.0,0.0,Anson,0.0,0.0,0.0,Anson,0.0,0.0,0.0,Anson,0.0,0.0,0.0,Anson,0.0,0.0,0.0,Anson,0.0,0.0,0.0,Anson,0.0,0.0,0.0,Anson,0.0,0.0,0.0,Anson,0.0,0.0,0.0,Anson,0.0,0.0,0.0,Anson,0.0,0.0,0.0,Anson,0.0,0.0,0.0
Lenoir,0.0,0.0,0.0,Lenoir,0.0,0.0,0.0,Lenoir,0.0,0.0,0.0,Lenoir,0.0,0.0,0.0,Lenoir,0.0,0.0,0.0,Lenoir,0.0,0.0,0.0,Lenoir,0.0,0.0,0.0,Lenoir,0.0,0.0,0.0,Lenoir,0.0,0.0,0.0,Lenoir,0.0,0.0,0.0,Lenoir,0.0,0.0,0.0,Lenoir,0.0,0.0,0.0,Lenoir,0.0,0.0,0.0,Lenoir,0.0,0.0,0.0,Lenoir,0.0,0.0,0.0,Lenoir,0.0,0.0,0.0,Lenoir,0.0,0.0,0.0,Lenoir,0.0,0.0,0.0,Lenoir,0.0,0.0,0.0,Lenoir,0.0,0.0,0.0,Lenoir,0.0,0.0,0.0
Robeson,0.0,0.0,0.0,Robeson,0.0,0.0,0.0,Robeson,0.0,0.0,0.0,Robeson,0.0,0.0,0.0,Robeson,0.0,0.0,0.0,Robeson,0.0,0.0,0.0,Robeson,0.0,0.0,0.0,Robeson,0.0,0.0,0.0,Robeson,0.0,0.0,0.0,Robeson,0.0,0.0,0.0,Robeson,0.0,0.0,0.0,Robeson,0.0,0.0,0.0,Robeson,0.0,0.0,0.0,Robeson,0.0,0.0,0.0,Robeson,0.0,0.0,0.0,Robeson,0.0,0.0,0.0,Robeson,0.0,0.0,0.0,Robeson,0.0,0.0,0.0,Robeson,0.0,0.0,0.0,Robeson,0.0,0.0,0.0,Robeson,0.0,0.0,0.0
Hoke,0.0,0.0,0.0,Hoke,0.0,0.0,0.0,Hoke,0.0,0.0,0.0,Hoke,0.0,0.0,0.0,Hoke,0.0,0.0,0.0,Hoke,0.0,0.0,0.0,Hoke,0.0,0.0,0.0,Hoke,0.0,0.0,0.0,Hoke,0.0,0.0,0.0,Hoke,0.0,0.0,0.0,Hoke,0.0,0.0,0.0,Hoke,0.0,0.0,0.0,Hoke,0.0,0.0,0.0,Hoke,0.0,0.0,0.0,Hoke,0.0,0.0,0.0,Hoke,0.0,0.0,0.0,Hoke,0.0,0.0,0.0,Hoke,0.0,0.0,0.0,Hoke,0.0,0.0,0.0,Hoke,0.0,0.0,0.0,Hoke,0.0,0.0,0.0
Johnston,0.0,0.0,0.0,Johnston,0.0,0.0,0.0,Johnston,0.0,0.0,0.0,Johnston,0.0,0.0,0.0,Johnston,0.0,0.0,0.0,Johnston,0.0,0.0,0.0,Johnston,0.0,0.0,0.0,Johnston,0.0,0.0,0.0,Johnston,0.0,0.0,0.0,Johnston,0.0,0.0,0.0,Johnston,0.0,0.0,0.0,Johnston,0.0,0.0,0.0,Johnston,0.0,0.0,0.0,Johnston,0.0,0.0,0.0,Johnston,0.0,0.0,0.0,Johnston,0.0,0.0,0.0,Johnston,0.0,0.0,0.0,Johnston,0.0,0.0,0.0,Johnston,0.0,0.0,0.0,Johnston,0.0,0.0,0.0,Johnston,0.0,0.0,0.0
Brunswick,0.0,0.0,0.0,Brunswick,0.0,0.0,0.0,Brunswick,0.0,0.0,0.0,Brunswick,0.009376027397260274,0.03333942161339421,0.018752054794520547,Brunswick,0.009376027397260274,0.03333942161339421,0.018752054794520547,Brunswick,0.0,0.0,0.0,Brunswick,0.0,0.0,0.0,Brunswick,0.0,0.0,0.0,Brunswick,0.0,0.0,0.0,Brunswick,0.0,0.0,0.0,Brunswick,0.0,0.0,0.0,Brunswick,0.0,0.0,0.0,Brunswick,0.031253424657534244,0.1111314053779807,0.06250684931506849,Brunswick,0.031253424657534244,0.1111314053779807,0.06250684931506849,Brunswick,0.0,0.0,0.0,Brunswick,0.0,0.0,0.0,Brunswick,0.0,0.0,0.0,Brunswick,0.0,0.0,0.0,Brunswick,19.429212328767125,71.12409944190767,38.85842465753425,Brunswick,0.0125013698630137,0.04445256215119228,0.0250027397260274,Brunswick,0.0,0.0,0.0
Columbus,0.0,0.0,0.0,Columbus,0.0,0.0,0.0,Columbus,0.0,0.0,0.0,Columbus,0.0,0.0,0.0,Columbus,0.0,0.0,0.0,Columbus,0.0,0.0,0.0,Columbus,0.0,0.0,0.0,Columbus,0.0,0.0,0.0,Columbus,0.0,0.0,0.0,Columbus,0.0,0.0,0.0,Columbus,0.0,0.0,0.0,Columbus,0.0,0.0,0.0,Columbus,0.0,0.0,0.0,Columbus,0.0,0.0,0.0,Columbus,0.0,0.0,0.0,Columbus,0.0,0.0,0.0,Columbus,0.0,0.0,0.0,Columbus,0.0,0.0,0.0,Columbus,0.0,0.0,0.0,Columbus,0.0,0.0,0.0,Columbus,0.0,0.0,0.0
Bladen,0.0,0.0,0.0,Bladen,0.0,0.0,0.0,Bladen,0.0,0.0,0.0,Bladen,0.0,0.0,0.0,Bladen,0.0,0.0,0.0,Bladen,0.0,0.0,0.0,Bladen,0.0,0.0,0.0,Bladen,0.0,0.0,0.0,Bladen,0.0,0.0,0.0,Bladen,0.0,0.0,0.0,Bladen,0.0,0.0,0.0,Bladen,0.0,0.0,0.0,Bladen,0.0,0.0,0.0,Bladen,0.0,0.0,0.0,Bladen,0.0,0.0,0.0,Bladen,0.0,0.0,0.0,Bladen,0.0,0.0,0.0,Bladen,0.0,0.0,0.0,Bladen,0.0,0.0,0.0,Bladen,0.0,0.0,0.0,Bladen,0.0,0.0,0.0
